"Year","County","Index.Total","Violent.Total","Murder","Rape","Robbery","Aggravated.Assault","Property.Total","Burglary","Larceny","Motor.Vehicle.Theft","Region","Population"
1996,"Clinton",24.6767777225261,4.43809050223769,0.0124316260566882,0.0870213823968175,0.0248632521133764,4.31377424167081,20.2386872202884,5.33316757831924,14.5077076081551,0.397812033814023,"Non-New York City",80440
1997,"Clinton",23.89295556858,4.41446047561447,0.0124702273322443,0.149642727986931,0.124702273322443,4.12764524697285,19.4784950929655,5.38713820752952,13.7671309747977,0.324225910638351,"Non-New York City",80191
1998,"Clinton",17.17839001076,3.11538172809849,0,0.112604158846933,0.075069439231289,2.92770813002027,14.0630082826615,3.61584465630708,10.1468858694292,0.300277756925156,"Non-New York City",79926
1999,"Clinton",18.0532081377152,2.679186228482,0,0.0625978090766823,0.0500782472613459,2.56651017214398,15.3740219092332,2.96713615023474,12.1439749608764,0.262910798122066,"Non-New York City",79875
2000,"Clinton",17.713627600711,2.99191307178088,0.0125184647354848,0.175258506296788,0.0125184647354848,2.79161763601312,14.7217145289302,3.66791016749706,10.8034350667234,0.250369294709697,"Non-New York City",79882
2001,"Clinton",18.0652390438247,2.51494023904382,0,0.211653386454183,0.0871513944223108,2.21613545816733,15.5502988047809,4.54432270916335,10.6947211155378,0.311254980079681,"Non-New York City",80320
2002,"Clinton",19.2300543942905,2.86220526100586,0.0247809979307867,0.272590977238653,0.14868598758472,2.4161472982517,16.3678491332846,3.66758769375643,12.3657179674625,0.33454347206562,"Non-New York City",80707
2003,"Clinton",19.6446999852573,2.05169787213131,0,0.368568480023588,0.0614280800039314,1.62170131210379,17.593002113126,5.27052926433731,11.8064769767556,0.515995872033024,"Non-New York City",81396
2004,"Clinton",19.4124909844382,2.28597973179468,0,0.330061244697627,0.110020414899209,1.84589807219784,17.1265112526435,5.18318399080718,11.5032456022395,0.440081659596836,"Non-New York City",81803
2005,"Clinton",24.4549025330463,2.10377828852164,0.0243211362834872,0.291853635401846,0.194569090267897,1.59303442656841,22.3511242445247,5.48441623192636,16.550533240913,0.316174771685333,"Non-New York City",82233
2006,"Clinton",21.8663306964517,1.55063176129962,0.0242286212703066,0.314972076513986,0.0726858638109198,1.13874519970441,20.3156989351521,5.60892582407598,14.2948865494809,0.411886561595212,"Non-New York City",82547
2007,"Clinton",24.4076747904453,2.67697078346819,0.0121129899704443,0.25437278937933,0.121129899704443,2.28935510441397,21.7307040069771,4.97843887785261,16.2192935704249,0.532971558699549,"Non-New York City",82556
2008,"Clinton",22.0749748182668,1.72328005728086,0.0121357750512736,0.364073251538209,0.0728146503076419,1.27425638038373,20.3516947609859,4.2839285930996,15.6187424909892,0.449023676897125,"Non-New York City",82401
2009,"Clinton",20.6368497812348,1.6164316966456,0.0121536217792902,0.230918813806514,0.145843461351483,1.22751579970831,19.0204180845892,4.7277588721439,13.8794360719494,0.413223140495868,"Non-New York City",82280
2010,"Clinton",22.2814771523542,1.05928334002995,0.0365270117251708,0.255689082076195,0.133932376325626,0.63313486990296,21.2221938123242,3.93274159574339,16.8267767347287,0.462675481852163,"Non-New York City",82131
